experimento,fecha_bloque,algoritmo,semilla,lambda,colapso,metrica_sla,costo_por_pedido,unidades_bloque
1,2028-04-03,GRASP_VNS,5,1.0000,true,,,4193
1,2028-12-05,ACS,1,1.0000,true,,,4135
1,2028-12-05,ACS,2,1.0000,true,,,4135
1,2028-12-05,ACS,3,1.0000,true,,,4135
1,2028-12-05,ACS,4,1.0000,true,,,4135
1,2028-12-05,ACS,5,1.0000,true,,,4135
1,2028-12-05,GRASP_VNS,1,1.0000,true,,,4135
1,2028-12-05,GRASP_VNS,2,1.0000,true,,,4135
1,2028-12-05,GRASP_VNS,3,1.0000,true,,,4135
1,2028-12-05,GRASP_VNS,4,1.0000,true,,,4135
1,2028-12-05,GRASP_VNS,5,1.0000,true,,,4135
1,2028-08-02,ACS,1,1.0000,true,,,3984
1,2028-08-02,ACS,2,1.0000,true,,,3984
1,2028-08-02,ACS,3,1.0000,true,,,3984
1,2028-08-02,ACS,4,1.0000,true,,,3984
1,2028-08-02,ACS,5,1.0000,true,,,3984
1,2028-08-02,GRASP_VNS,1,1.0000,true,,,3984
1,2028-08-02,GRASP_VNS,2,1.0000,true,,,3984
1,2028-08-02,GRASP_VNS,3,1.0000,true,,,3984
1,2028-08-02,GRASP_VNS,4,1.0000,true,,,3984
1,2028-08-02,GRASP_VNS,5,1.0000,true,,,3984
1,2028-10-03,ACS,1,1.0000,true,,,4149
1,2028-10-03,ACS,2,1.0000,true,,,4149
1,2028-10-03,ACS,3,1.0000,true,,,4149
1,2028-10-03,ACS,4,1.0000,true,,,4149
1,2028-10-03,ACS,5,1.0000,true,,,4149
1,2028-10-03,GRASP_VNS,1,1.0000,true,,,4149
1,2028-10-03,GRASP_VNS,2,1.0000,true,,,4149
1,2028-10-03,GRASP_VNS,3,1.0000,true,,,4149
1,2028-10-03,GRASP_VNS,4,1.0000,true,,,4149
1,2028-10-03,GRASP_VNS,5,1.0000,true,,,4149
1,2028-02-07,ACS,1,1.0000,true,,,3936
1,2028-02-07,ACS,2,1.0000,true,,,3936
1,2028-02-07,ACS,3,1.0000,true,,,3936
